Matrix Index	Metabolite#	MetaboliteID	Reaction#	ReactionID	Stoichiometry
584	123	M_3ooctACP_c	93	R_3OAS80	1
585	129	M_co2_c	93	R_3OAS80	1
586	4	M_h_c	94	R_3OAS8M10	-1
587	127	M_malACP_c	94	R_3OAS8M10	-1
588	150	M_8mdcaACP_c	94	R_3OAS8M10	-1
589	28	M_ACP_c	94	R_3OAS8M10	1
590	103	M_10m3oddcaACP_c	94	R_3OAS8M10	1
591	129	M_co2_c	94	R_3OAS8M10	1
592	4	M_h_c	95	R_3OAS8M9	-1
593	127	M_malACP_c	95	R_3OAS8M9	-1
594	151	M_8mnonACP_c	95	R_3OAS8M9	-1
595	28	M_ACP_c	95	R_3OAS8M9	1
596	102	M_10m3oundecACP_c	95	R_3OAS8M9	1
597	129	M_co2_c	95	R_3OAS8M9	1
598	4	M_h_c	96	R_3OAS9M10	-1
599	127	M_malACP_c	96	R_3OAS9M10	-1
600	152	M_9mdcaACP_c	96	R_3OAS9M10	-1
601	28	M_ACP_c	96	R_3OAS9M10	1
602	104	M_11m3oddcaACP_c	96	R_3OAS9M10	1
603	129	M_co2_c	96	R_3OAS9M10	1
604	7	M_nad_c	97	R_4HBNOX	-1
605	7	M_nad_c	1406	R_4HBNOX_reverse	1
606	153	M_4hdxbutn_c	97	R_4HBNOX	-1
607	153	M_4hdxbutn_c	1406	R_4HBNOX_reverse	1
608	4	M_h_c	97	R_4HBNOX	1
609	4	M_h_c	1406	R_4HBNOX_reverse	-1
610	5	M_nadh_c	97	R_4HBNOX	1
611	5	M_nadh_c	1406	R_4HBNOX_reverse	-1
612	154	M_sucsal_c	97	R_4HBNOX	1
613	154	M_sucsal_c	1406	R_4HBNOX_reverse	-1
614	155	M_4hphac_c	98	R_4HPHACDC	-1
615	129	M_co2_c	98	R_4HPHACDC	1
616	156	M_pcresol_c	98	R_4HPHACDC	1
617	4	M_h_c	99	R_4HPHACDC2	-1
618	38	M_34dhpha_c	99	R_4HPHACDC2	-1
619	129	M_co2_c	99	R_4HPHACDC2	1
620	157	M_4mcat_c	99	R_4HPHACDC2	1
621	13	M_h2o_c	100	R_4HTHRS	-1
622	158	M_phthr_c	100	R_4HTHRS	-1
623	159	M_4hthr_c	100	R_4HTHRS	1
624	160	M_pi_c	100	R_4HTHRS	1
625	31	M_h_e	101	R_4MCATt2r	-1
626	31	M_h_e	1407	R_4MCATt2r_reverse	1
627	161	M_4mcat_e	101	R_4MCATt2r	-1
628	161	M_4mcat_e	1407	R_4MCATt2r_reverse	1
629	4	M_h_c	101	R_4MCATt2r	1
630	4	M_h_c	1407	R_4MCATt2r_reverse	-1
631	157	M_4mcat_c	101	R_4MCATt2r	1
632	157	M_4mcat_c	1407	R_4MCATt2r_reverse	-1
633	4	M_h_c	102	R_5AIZCDC	-1
634	162	M_5aizc_c	102	R_5AIZCDC	-1
635	129	M_co2_c	102	R_5AIZCDC	1
636	163	M_air_c	102	R_5AIZCDC	1
637	164	M_5aptn_c	103	R_5APTLPO	-1
638	164	M_5aptn_c	1408	R_5APTLPO_reverse	1
639	165	M_lipoate_c	103	R_5APTLPO	-1
640	165	M_lipoate_c	1408	R_5APTLPO_reverse	1
641	4	M_h_c	103	R_5APTLPO	1
642	4	M_h_c	1408	R_5APTLPO_reverse	-1
643	166	M_pro_D_c	103	R_5APTLPO	1
644	166	M_pro_D_c	1408	R_5APTLPO_reverse	-1
645	167	M_C02147_c	103	R_5APTLPO	1
646	167	M_C02147_c	1408	R_5APTLPO_reverse	-1
647	31	M_h_e	104	R_5APTNt2r	-1
648	31	M_h_e	1409	R_5APTNt2r_reverse	1
649	168	M_5aptn_e	104	R_5APTNt2r	-1
650	168	M_5aptn_e	1409	R_5APTNt2r_reverse	1
651	4	M_h_c	104	R_5APTNt2r	1
652	4	M_h_c	1409	R_5APTNt2r_reverse	-1
653	164	M_5aptn_c	104	R_5APTNt2r	1
654	164	M_5aptn_c	1409	R_5APTNt2r_reverse	-1
655	4	M_h_c	105	R_5C2O3EDDC	-1
656	169	M_5c2o3ed_c	105	R_5C2O3EDDC	-1
657	129	M_co2_c	105	R_5C2O3EDDC	1
658	170	M_2hh24dd_c	105	R_5C2O3EDDC	1
659	13	M_h2o_c	106	R_5DOAN	-1
660	171	M_dad_5_c	106	R_5DOAN	-1
661	172	M_ade_c	106	R_5DOAN	1
662	173	M_5drib_c	106	R_5DOAN	1
663	22	M_glu_L_c	107	R_5GLUP5T1	-1
664	22	M_glu_L_c	1410	R_5GLUP5T1_reverse	1
665	174	M_HC00955_c	107	R_5GLUP5T1	-1
666	174	M_HC00955_c	1410	R_5GLUP5T1_reverse	1
667	13	M_h2o_c	107	R_5GLUP5T1	1
668	13	M_h2o_c	1410	R_5GLUP5T1_reverse	-1
669	175	M_HC01577_c	107	R_5GLUP5T1	1
670	175	M_HC01577_c	1410	R_5GLUP5T1_reverse	-1
671	4	M_h_c	108	R_5GLUP5T2	-1
672	22	M_glu_L_c	108	R_5GLUP5T2	-1
673	174	M_HC00955_c	108	R_5GLUP5T2	-1
